File name,class,object size (cm),download site,download URL,Notes
Palm-arecaceae-1,plant,0.4885,Greenhouse - Blender for Architecture ,http://blender-archi.tuxfamily.org/Main_Page,doesn't have a pot
bonsai,plant,0.1344,Blend Swap,http://www.blendswap.com/blends/view/0.1344522,
LuckyBamboo,plant,0.0126,Blend Swap,http://www.blendswap.com/blends/view/50.012668,
Low-Pol_Plant_2_Bl,plant,100,Blend Swap,http://www.blendswap.com/blends/view/70039,
Rosa2,plant,2,Blend Swap,http://www.blendswap.com/blends/view/68847,
Chair1,chair,1.5128,Blend Swap,http://www.blendswap.com/blends/view/5027,
antiquechair,chair,0.1111,Blend Swap,http://www.blendswap.com/blends/view/50872,
Group_chair,chair,1.5978,Blend Swap,http://www.blendswap.com/blends/view/918,
Chair,chair,0.2127,Blend Swap,http://www.blendswap.com/blends/view/39476,
armchair,chair,0.1301,Blend Swap,http://www.blendswap.com/blends/view/17081,cannot center
jojojoy_chair,chair,0.0613,Blend Swap,http://www.blendswap.com/blends/view/6744,
chair4,chair,0.1823,Blend Swap,http://www.blendswap.com/blends/view/4976,cannot delete background
chrome wire chair,chair,80,Blend Swap,http://www.blendswap.com/blends/view/38377,
Roz,chair,1.1816,Blend Swap,http://www.blendswap.com/blends/view/15564,
Office_chair_01,chair,0.2367,Blend Swap,http://www.blendswap.com/blends/view/21757,s
ella,chair,0.6101,Blend Swap,http://www.blendswap.com/blends/view/40140,
falcon50,airplane,1,Blend Swap,http://www.blendswap.com/blends/view/66835,problem with cube
Banana-1,plant,0.7488,Greenhouse - Blender for Architecture ,http://blender-archi.tuxfamily.org/Greenhouse#European_Oak,no pot
Gardenfurniture,chair,0.6645,Blend Swap,http://www.blendswap.com/blends/view/13603,
lchair,chair,210,blendswap,http://www.blendswap.com/blends/view/5027,
tableandchair,chair,0.3577,blendswap,http://www.blendswap.com/blends/view/42261,cannot separate from table/other chairs
beachchair,chair,0.1837,blendswap,http://www.blendswap.com/blends/view/66526,
dchair,chair,1.2573,blendswap,http://www.blendswap.com/blends/view/20920,
wheelchair,chair,200,blendswap,http://www.blendswap.com/blends/view/47437,
silla,chair,0.0969,blendswap,http://www.blendswap.com/blends/view/14972,
achair,chair,0.0934,blendswap,http://www.blendswap.com/blends/view/19165,format?
greenchair,chair,0.1301,blendswap,http://www.blendswap.com/blends/view/17081,
antique,chair,0.9439,blendswap,http://www.blendswap.com/downloads/serve/1274846/antique_chair_v2_blend.zip,
chesterfield,chair,0.0347,blendswap,http://www.blendswap.com/downloads/serve/1274896/chesterfield_armchair.zip,
bamboo,chair,0.1060,blendswap,http://www.blendswap.com/blends/view/4771,
deck,chair,0.6332,blendswap,http://www.blendswap.com/blends/view/41615,
trillium,plant,3.8718,blendswap,http://www.blendswap.com/blends/view/66509,
fern,plant,30,blendswap,http://www.blendswap.com/blends/view/48011,
medium,plant,0.1371,blendswap,http://www.blendswap.com/blends/view/69457,
p,plant,0.4105,blendswap,http://www.blendswap.com/blends/view/68327,
roompalm,plant,0.1068,blendswap,http://www.blendswap.com/blends/view/39323,
yucca,plant,0.1261,blendswap,http://www.blendswap.com/blends/view/69456,
low,plant,0.5919,blendswap,http://www.blendswap.com/blends/view/70025,
dx3_1979_tankbike,motorcycle,0.1455,blendswap,,
HondaBBR_Packed,motorcycle,0.0007,blendswap,,
VESPA,motorcycle,0.1575,blendswap,,
yamaha1,motorcycle,0.0681,blendswap,,
Bike1,motorcycle,0.4835,turbosquid,,
decode,motorcycle,0.2258,turbosquid,,
moto1,motorcycle,0.5975,turbosquid,,
moto2,motorcycle,0.5,turbosquid,,
yamaha2,motorcycle,0.0681,turbosquid,,
yamaharley,motorcycle,0.0652,turbosquid,,
Potter Fern,plant,0.5,turbosquid,,
vase,plant,0.1855,turbosquid,,
BSA_banta,motorcycle,1.0022,turbosquid,,
